retention_ratio_requested,retention_ratio_actual_mean,retention_ratio_actual_std,precision_mean,precision_std,completeness_mean,completeness_std,commission_mean,commission_std,f1_mean,f1_std
0.5,0.5,0.0,0.813267869389438,0.014972519941095065,0.32365564424173315,0.011489596204542372,0.186732130610562,0.014972519941095067,0.46294888094415343,0.013142739071949135
0.51,0.5102040816326532,1.111334915764742e-16,0.8133325072650075,0.014543304843427033,0.3303010262257696,0.011386714851105277,0.18666749273499253,0.014543304843427033,0.4697237859671732,0.012907058900602602
0.52,0.520408163265306,1.111334915764742e-16,0.8135112529322451,0.014374498405219328,0.3369669327251995,0.011302302001413706,0.18648874706775484,0.014374498405219328,0.47646077630546685,0.012714081084821256
0.53,0.5300751879699249,1.111334915764742e-16,0.8133812981493456,0.014049675274106633,0.3432223489167617,0.011248248972113266,0.1866187018506545,0.014049675274106633,0.4826608710992351,0.012528623020827342
0.54,0.5402792696025778,1.111334915764742e-16,0.8135522209924,0.013745488570504382,0.34992930444697834,0.011285567661243345,0.18644777900759993,0.013745488570504383,0.48928821278041085,0.012441441468004768
0.55,0.550483351235231,0.0,0.8133798836456593,0.013522764197240897,0.35643101482326106,0.011304393896042141,0.18662011635434084,0.013522764197240897,0.4955798850638675,0.012354808282125025
0.56,0.5601503759398498,2.222669831529484e-16,0.8132207242777363,0.013042608143876014,0.3627160775370582,0.01115623733182901,0.18677927572226363,0.013042608143876014,0.5015966748183543,0.012061843878782735
0.57,0.5703544575725027,0.0,0.8131429992658319,0.012827808316837832,0.36945267958950967,0.01114351927977312,0.1868570007341681,0.012827808316837832,0.5079902767660627,0.011961582734481498
0.58,0.5800214822771214,0.0,0.8127647585568435,0.012849457083412279,0.3757012542759407,0.011146792250799209,0.18723524144315656,0.012849457083412279,0.5137940337030493,0.011916621469203458
0.59,0.5902255639097743,1.111334915764742e-16,0.8125810289042154,0.012424435755003387,0.38228050171037625,0.011017627865245414,0.18741897109578456,0.012424435755003387,0.5198782120395176,0.011645438782160141
0.6,0.6004296455424275,0.0,0.8124893400562806,0.01209928564313695,0.38880729760547317,0.010954739838671707,0.1875106599437194,0.01209928564313695,0.5258658221561571,0.011484022219413964
0.61,0.6100966702470461,1.111334915764742e-16,0.8124467418067778,0.011579585487914417,0.394957810718358,0.010892686450920157,0.18755325819322213,0.011579585487914417,0.5314574249539997,0.011307380900058952
0.62,0.6203007518796995,2.222669831529484e-16,0.8124143316170995,0.011409418912246077,0.40168757126567844,0.0108492134345358,0.18758566838290044,0.011409418912246077,0.5375113538443038,0.011152374297678524
0.63,0.6305048335123524,1.111334915764742e-16,0.8124206815288025,0.011181114507304166,0.4082280501710376,0.010661595323531517,0.1875793184711975,0.011181114507304166,0.5433417053885229,0.010890800790659213
