retained_predictions,total_predictions,retention_ratio_actual,tp,fp,fn,precision,completeness,commission,f1,retention_ratio_requested
931,1862,0.5,410,22,467,0.9490740740740741,0.467502850627138,0.05092592592592593,0.6264323911382735,0.5
950,1862,0.5102040816326531,416,22,461,0.9497716894977168,0.47434435575826683,0.05022831050228316,0.6326996197718632,0.51
969,1862,0.5204081632653061,423,23,454,0.9484304932735426,0.4823261117445838,0.05156950672645744,0.6394557823129251,0.52
987,1862,0.5300751879699248,427,27,450,0.9405286343612335,0.4868871151653364,0.05947136563876654,0.6416228399699474,0.53
1006,1862,0.5402792696025779,434,29,443,0.937365010799136,0.49486887115165334,0.06263498920086397,0.6477611940298508,0.54
1025,1862,0.550483351235231,438,29,439,0.9379014989293362,0.49942987457240595,0.062098501070663836,0.6517857142857143,0.55
1043,1862,0.5601503759398496,441,31,436,0.934322033898305,0.5028506271379704,0.06567796610169496,0.653817642698295,0.56
1062,1862,0.5703544575725027,447,34,430,0.9293139293139293,0.5096921322690992,0.07068607068607069,0.658321060382916,0.57
1080,1862,0.5800214822771214,452,36,425,0.9262295081967213,0.5153933865450399,0.07377049180327866,0.6622710622710621,0.58
1099,1862,0.5902255639097744,457,38,420,0.9232323232323232,0.5210946408209807,0.07676767676767682,0.6661807580174927,0.59
1118,1862,0.6004296455424275,464,39,413,0.9224652087475149,0.5290763968072976,0.07753479125248508,0.672463768115942,0.6
1136,1862,0.6100966702470462,471,39,406,0.9235294117647059,0.5370581527936146,0.07647058823529407,0.6791636625811104,0.61
1155,1862,0.6203007518796992,479,39,398,0.9247104247104247,0.5461801596351197,0.07528957528957525,0.6867383512544802,0.62
1174,1862,0.6305048335123523,484,40,393,0.9236641221374046,0.5518814139110604,0.07633587786259544,0.6909350463954317,0.63
1192,1862,0.640171858216971,488,41,389,0.9224952741020794,0.556442417331813,0.07750472589792057,0.6941678520625888,0.64
1211,1862,0.650375939849624,496,42,381,0.9219330855018587,0.5655644241733181,0.0780669144981413,0.701060070671378,0.65
1229,1862,0.6600429645542427,500,42,377,0.922509225092251,0.5701254275940707,0.07749077490774903,0.7047216349541932,0.66
1248,1862,0.6702470461868958,504,42,373,0.9230769230769231,0.5746864310148233,0.07692307692307687,0.708362614195362,0.67
1267,1862,0.6804511278195489,506,44,371,0.92,0.5769669327251995,0.07999999999999996,0.7091800981079187,0.68
1285,1862,0.6901181525241675,514,45,363,0.9194991055456172,0.5860889395667047,0.0805008944543828,0.7158774373259054,0.69
1304,1862,0.7003222341568206,516,47,361,0.91651865008881,0.5883694412770809,0.08348134991119005,0.7166666666666667,0.7
1323,1862,0.7105263157894737,519,51,358,0.9105263157894737,0.5917901938426454,0.08947368421052626,0.7173462335867312,0.71
1341,1862,0.7201933404940923,523,54,354,0.9064124783362218,0.5963511972633979,0.09358752166377815,0.71939477303989,0.72
1360,1862,0.7303974221267454,526,55,351,0.9053356282271945,0.5997719498289624,0.09466437177280551,0.7215363511659808,0.73
1378,1862,0.7400644468313641,530,58,347,0.9013605442176871,0.6043329532497149,0.09863945578231292,0.7235494880546075,0.74
1397,1862,0.7502685284640171,531,59,346,0.9,0.6054732041049031,0.09999999999999998,0.7239263803680983,0.75
1416,1862,0.7604726100966702,536,61,341,0.897822445561139,0.6111744583808438,0.102177554438861,0.7272727272727274,0.76
1434,1862,0.7701396348012889,538,63,339,0.8951747088186356,0.61345496009122,0.10482529118136441,0.7280108254397836,0.77
1453,1862,0.780343716433942,539,67,338,0.8894389438943895,0.6145952109464082,0.11056105610561051,0.7269049224544841,0.78
1471,1862,0.7900107411385607,541,69,336,0.8868852459016393,0.6168757126567845,0.11311475409836069,0.7276395427034297,0.79
1490,1862,0.8002148227712137,543,70,334,0.8858075040783034,0.6191562143671607,0.11419249592169656,0.7288590604026846,0.8
1509,1862,0.8104189044038668,547,70,330,0.8865478119935171,0.6237172177879133,0.11345218800648293,0.7322623828647925,0.81
1527,1862,0.8200859291084855,550,74,327,0.8814102564102564,0.6271379703534777,0.11858974358974361,0.7328447701532311,0.82
1546,1862,0.8302900107411385,552,77,325,0.8775834658187599,0.629418472063854,0.1224165341812401,0.7330677290836652,0.83
1565,1862,0.8404940923737916,554,79,323,0.8751974723538705,0.6316989737742303,0.12480252764612954,0.733774834437086,0.84
1583,1862,0.8501611170784104,554,82,323,0.8710691823899371,0.6316989737742303,0.12893081761006286,0.7323198942498349,0.85
1602,1862,0.8603651987110634,557,86,320,0.8662519440124417,0.6351197263397947,0.13374805598755835,0.7328947368421053,0.86
1620,1862,0.8700322234156821,557,89,320,0.8622291021671826,0.6351197263397947,0.13777089783281737,0.7314510833880498,0.87
1639,1862,0.8802363050483352,557,92,320,0.8582434514637904,0.6351197263397947,0.14175654853620956,0.7300131061598951,0.88
1658,1862,0.8904403866809882,563,97,314,0.853030303030303,0.6419612314709237,0.14696969696969697,0.7325959661678595,0.89
1676,1862,0.9001074113856069,564,100,313,0.8493975903614458,0.6431014823261118,0.1506024096385542,0.7319922128487995,0.9
1695,1862,0.91031149301826,565,105,312,0.8432835820895522,0.6442417331812998,0.15671641791044777,0.7304460245636716,0.91
1714,1862,0.920515574650913,565,112,312,0.8345642540620384,0.6442417331812998,0.16543574593796162,0.7271557271557273,0.92
