source_plot,num_candidates,keep_count,num_cells,mean_candidates_per_cell,p90_candidates_per_cell,max_candidates_per_cell,impure_cell_rate_below_0_90,multi_tree_collision_cell_rate,between_cell_utility_variance_ratio,utility_gain_over_random_relative,non_tree_reduction_over_random_relative,utility_retention_vs_point_oracle,critical_recall_drop_vs_point_oracle,density_cv_reduction_vs_point_oracle_relative,plot_win_over_random,point_oracle_selected_count,point_oracle_selected_mean_utility,point_oracle_selected_non_tree_rate,point_oracle_selected_reliable_rate,point_oracle_selected_tree_mean_vote_error_xy,point_oracle_critical_recall,point_oracle_critical_tree_coverage,point_oracle_occupied_cell_coverage,point_oracle_selected_cell_count_cv,cell_oracle_selected_count,cell_oracle_selected_mean_utility,cell_oracle_selected_non_tree_rate,cell_oracle_selected_reliable_rate,cell_oracle_selected_tree_mean_vote_error_xy,cell_oracle_critical_recall,cell_oracle_critical_tree_coverage,cell_oracle_occupied_cell_coverage,cell_oracle_selected_cell_count_cv
G4N,293705,229090,1440,203.96180555555554,717.1000000000001,1794,0.04583333333333333,0.019444444444444445,0.9150609419965163,0.07523850024103715,0.03162416961692981,0.8312819951329254,0.0,0.2823156139687061,True,229090,0.3419070606869598,0.0,0.31742110087738445,0.5790218014714111,1.0,1.0,0.7236111111111111,1.8980678839951635,229090,0.28422118355789017,0.10626391374568947,0.27586974551486315,0.8171567267165284,1.0,1.0,1.0,1.3622136839707861
G4W,519142,404931,2748,188.91630276564774,675.3000000000002,2101,0.07423580786026202,0.03202328966521106,0.9224512761126525,0.06174994503170395,0.10292226350385832,0.8140816321066286,0.0,0.27588682073883464,True,404931,0.47689175628290775,0.0,0.47146056982547646,0.40260127126796497,1.0,1.0,0.7398107714701602,2.009396848865597,404931,0.38822881929298614,0.06201303431942726,0.3918297191373345,0.5995374010603495,1.0,1.0,1.0,1.455030740629435
L1N,452316,352807,2883,156.89073881373568,534.6000000000004,2019,0.06416926812348249,0.02428026361429067,0.9342467209415064,0.05551703346170164,0.024961996453002087,0.7908204653640263,0.0,0.3214032860736756,True,352807,0.5390586381203906,0.0,0.5720096256593549,0.36502261962233723,1.0,1.0,0.5972944849115505,2.347357690929159,352807,0.4262986030568655,0.14544212558140854,0.4530323944819689,0.49077230417251516,1.0,1.0,1.0,1.592909215474212
O1N,242281,188980,821,295.1047503045067,1151.0,2150,0.04263093788063337,0.01705237515225335,0.9182739243594101,0.06406498457114906,0.03177024092648112,0.8242170955139173,0.0,0.2429651347796654,True,188980,0.5432174258802309,0.0,0.5670705894803683,0.3412685663800804,1.0,1.0,0.6467722289890377,1.9372424473059542,188980,0.44772908899155056,0.06606519208381839,0.4626732987617737,0.5478328964885231,1.0,1.0,1.0,1.4665600749953742
O1W,400701,312547,4674,85.72978177150192,230.0,1958,0.07424047924689774,0.02032520325203252,0.9276892210645747,0.09142465846753398,0.031179460073047442,0.7356457997947978,0.0,0.37501611350486924,True,312547,0.32860941644360925,0.2512710088402704,0.3419933641980246,0.5899660168611671,1.0,1.0,0.7006846384253316,2.791431685637601,312547,0.2417401369797607,0.47696826397309844,0.2541249796030677,0.5576715105490644,1.0,1.0,1.0,1.744599823775442
