model,seed,best_epoch,device,parameter_count,reliability_roc_auc,reliability_ap,tree_detection_roc_auc,tree_only_roc_auc,tree_only_ap,coverage_ap,dual_critical_recall,dual_critical_tree_coverage,dual_selected_mean_utility,dual_selected_non_tree_rate,min_plot_critical_tree_coverage
neighborhood_mlp,42,4,cuda,52226,0.7368240916821844,0.5627288088961749,0.9368962730000145,0.6659195005303518,0.5699296150177755,0.17734923865626384,0.869259263306271,0.9920318725099602,0.4080438977667802,0.07464079470287667,0.9868852459016394
neighborhood_mlp,43,4,cuda,52226,0.7418809886353571,0.5672923366501963,0.9422842609935116,0.6712817334410438,0.5744634355390754,0.17499189675458204,0.8715539189440213,0.9954467842914058,0.40849537138866676,0.07536306862274121,0.9901639344262295
neighborhood_mlp,44,4,cuda,52226,0.7394604142501927,0.565557378908146,0.9361872215148169,0.6695012795626751,0.573243492857125,0.17351794253211375,0.8747445829736552,0.9948776323278316,0.4079372277138586,0.07587034007343678,0.9901639344262295
relation_attention,42,4,cuda,50370,0.7359349605476833,0.5610276468381583,0.9325960911993021,0.6653798674479195,0.5687695700655016,0.16723693475872956,0.8664728957461455,0.9914627205463858,0.4075887615735041,0.07597784130802127,0.9889380530973452
relation_attention,43,16,cuda,50370,0.7388553377887584,0.5698193636836236,0.9344375835322072,0.668578690166858,0.5764456035969514,0.1826208700714688,0.8854529759498235,0.9960159362549801,0.4064219355385819,0.07724232457982134,0.9901639344262295
relation_attention,44,4,cuda,50370,0.7399117539981134,0.5643106225899549,0.935301234969545,0.6697725578155602,0.5711582047966448,0.1684300164095686,0.8771157271326638,0.9965850882185544,0.4091093163578623,0.07625331322164403,0.9934426229508196
