instance_id,oracle_max_iou,best_gt_id,precision_at_best_gt,recall_at_best_gt,num_points
1,0.9605464941817453,75,0.9608069060624461,0.9997179125528914,722959
2,0.9145422334324235,103,0.9157245941070354,0.9985901639344262,99780
3,0.9394054878048781,272,0.9587709062621548,0.9789515488482923,2571
4,0.0,1,0.0,0.0,122176
5,0.917408894426754,810,0.9193038706395573,0.9977581476276517,64873
6,0.0,1,0.0,0.0,110892
7,0.0,1,0.0,0.0,251603
8,0.930620292685814,242,0.9310404808254565,0.9995152786551764,270202
9,0.9019069547762427,670,0.9035072155192808,0.9980400483454741,33816
10,0.0,1,0.0,0.0,30572
11,0.0,1,0.0,0.0,27727
12,0.0,1,0.0,0.0,2014
13,0.8140114319214422,821,0.8140114319214422,1.0,20469
14,0.9435884870933802,478,0.9467405136510875,0.9964840182648402,69152
15,0.925697969261376,803,0.9260516296984047,0.9995876150242397,225103
16,0.9831353570904825,656,0.9832795541214432,0.9998508575689784,6818
17,0.8689718471238235,105,0.8753096863858844,0.9917363859183087,165490
18,0.9181323328489949,732,0.9211488250652742,0.9964459717089933,45960
19,0.8964100067303424,435,0.9039827865064695,0.9907413269182072,69248
20,0.9393232784282596,816,0.9546210860686735,0.9832260074781887,19833
21,0.9283256460941504,271,0.9341387947546781,0.9933411672542107,13574
22,0.9239534479763766,142,0.924049753318046,0.9998872138050303,28782
23,0.7453608247422681,380,0.7497407535430349,0.9922232387923148,2893
24,0.0005805257514393624,105,0.19230769230769232,0.000581944653640235,442
25,0.9624855638420733,771,0.9624855638420733,1.0,102174
26,0.0,1,0.0,0.0,469
27,0.9677987160902879,729,0.968801824212272,0.9989312813936091,9648
28,0.0,1,0.0,0.0,25817
29,0.9015478356881428,812,0.9292013951086899,0.96804434930567,94903
30,0.0,1,0.0,0.0,36828
31,0.0,1,0.0,0.0,139307
32,0.0,1,0.0,0.0,549
33,0.0,1,0.0,0.0,6210
34,0.9125741608430749,280,0.9137797135331183,0.9985563925562351,124901
35,0.9049168138302817,546,0.9074471059744618,0.9969281179602704,10729
36,0.8408352668213457,81,0.8521210933672969,0.9844927897131732,51035
37,0.0,1,0.0,0.0,39666
38,0.0,1,0.0,0.0,25350
39,0.0,1,0.0,0.0,21326
40,0.0,1,0.0,0.0,27648
41,0.0,1,0.0,0.0,71712
42,0.0,1,0.0,0.0,22123
43,0.8167443408788282,65,0.9248456862837487,0.8748050095823863,21223
44,0.6541745730550285,171,0.6561979538424935,0.9953085528690003,16812
45,0.5151000177022482,503,0.5151547340839884,0.9997938427707531,28242
46,0.5224339612279641,561,0.5227689038686987,0.9987751102400784,54592
47,0.9098837209302325,15,0.9811912225705329,0.9260355029585798,957
48,0.8640888096045695,310,0.8643095894312689,0.9997044688190381,238742
49,0.0,1,0.0,0.0,87588
50,0.9415588679493072,833,0.9415588679493072,1.0,15229
51,0.9837086727359846,383,0.9908301158301158,0.9927466150870407,2072
52,0.969553650605971,671,0.9701271813073056,0.9993906154783668,3381
53,0.9385385138056705,652,0.9433751396994908,0.9945669961379852,16106
54,0.9609537692628072,632,0.9618551328817092,0.9990257631521975,9595
55,0.0,1,0.0,0.0,3603
56,0.0,1,0.0,0.0,9536
57,0.5445035786382822,416,0.7489587277546383,0.6660680211022562,7923
58,0.7367141752292564,427,0.7417130144605116,0.9909347599940556,17980
59,0.9409226103691608,734,0.9426818580192813,0.9980205369293579,17115
60,0.9166242763365066,515,0.9171352399418323,0.9993925628565392,41260
61,0.0005609783462358353,577,0.01006036217303823,0.0005937537109606935,1988
62,0.9620102750498025,257,0.9629862860341449,0.9989475594266013,28584
63,0.8498121546961326,88,0.8504887866589994,0.9990646921278254,22607
64,0.8245901151545809,747,0.8382081606726959,0.9806780380777125,33061
65,0.6625220070422535,702,0.6654509283819628,0.9934004289721168,9048
66,0.0,1,0.0,0.0,7239
67,0.0,1,0.0,0.0,25225
68,0.0,1,0.0,0.0,104002
69,0.92713923673226,592,0.9275310084263378,0.999544632692694,80462
70,0.0,1,0.0,0.0,37096
71,0.7557742413917505,234,0.7596628430294167,0.9932725740174903,248193
72,0.0003324301269506749,747,0.00040388029902382893,0.0018755750583905443,131227
73,0.46184738955823296,83,0.7278481012658228,0.558252427184466,316
74,0.807131624803434,716,0.8090916837082481,0.9970075598488031,23472
75,0.0,1,0.0,0.0,45234
76,0.0,1,0.0,0.0,36797
77,0.18758663175727708,586,0.8529411764705882,0.19385643800732133,1428
78,0.8903094842474891,188,0.89274282243635,0.9969478382812572,121838
