instance_id,oracle_max_iou,best_gt_id,precision_at_best_gt,recall_at_best_gt,num_points
1,0.0,2,0.0,0.0,77644
2,0.0,2,0.0,0.0,29972
3,0.9897382457875588,47,0.9944630783154981,0.995222534010585,56349
4,0.9983256432214113,105,0.9993858436972209,0.9989384967579389,78156
5,0.0,2,0.0,0.0,44895
6,0.9904778621264645,43,0.992503022974607,0.9979441607533656,45485
7,0.9796208989478632,151,0.9903280361161195,0.9890838533160239,71547
8,0.0,2,0.0,0.0,23506
9,0.989176979254722,58,0.9909071978899147,0.9982379101054457,72035
10,0.9964198496811059,152,0.9978038154255257,0.998609939526429,84237
11,0.9614602682423835,164,0.9876795480497627,0.9731314118221788,66556
12,0.9624185063055353,172,0.9662126304617018,0.995936441781714,39571
13,0.9603943751112518,165,0.988427952042665,0.9713156973546032,98254
14,0.9877960064218342,55,0.9964572657683305,0.9912773134628939,79035
15,0.9891907456834971,101,0.9975206334669808,0.9916288261482609,89539
16,0.0,2,0.0,0.0,44992
17,0.0,2,0.0,0.0,152
18,0.9838520831300614,50,0.9964671294809397,0.9872959146207133,40477
19,0.0033310804286955683,50,0.1935483870967742,0.003377964898538663,713
20,4.577252580426142e-05,49,7.438907968310252e-05,0.00011897208121827412,80657
21,0.0012529394700621533,47,0.0019166131651497413,0.0036052996128298938,105916
22,0.0,2,0.0,0.0,13066
23,0.0,2,0.0,0.0,41611
24,0.9923356442151476,90,0.994926824415901,0.9973823621065753,80423
25,0.0,2,0.0,0.0,1085
26,0.9990294959521382,176,0.999225901578915,0.9998032899751653,81385
27,0.9914918079908019,61,0.9931189358823022,0.9983502648259095,34733
28,0.9866738110122149,113,0.9926823668001078,0.9939028047098335,100169
29,0.9777219239118017,131,0.9804101271623324,0.9972034490794687,26187
30,0.0,2,0.0,0.0,64731
31,0.0,2,0.0,0.0,39389
32,0.08583996207132698,190,0.622184039709813,0.09056048017339595,5238
33,6.971653257853568e-06,74,1.2096579087434074e-05,1.6455217126589986e-05,82668
34,0.000557921010130671,61,0.0008423105909473777,0.001649735174090475,67671
35,0.9763977408155863,52,0.9832246282285416,0.9929390067184825,38330
36,0.0,2,0.0,0.0,81776
37,3.9918110846891236e-05,55,7.297900289830897e-05,8.810794481925284e-05,95918
38,0.0,2,0.0,0.0,35679
39,0.0,2,0.0,0.0,38774
40,0.00015419724912107567,49,0.0003200956018864301,0.0002974302030456853,46861
41,0.9888682378993989,49,0.9971290148932352,0.9916917829949239,50157
42,0.9901610620661769,71,0.9973720447625143,0.9927511051910195,103122
43,0.9821759589334094,48,0.9833678349632379,0.9987674907561807,28018
44,0.9969094529137321,185,0.9980067828880823,0.9988982848975703,67228
45,0.998926314497822,112,0.9997543827331061,0.999171525007671,65142
46,0.9936881778831119,83,0.9974145906297496,0.9962542799389464,121064
47,0.0,2,0.0,0.0,70306
48,0.0,2,0.0,0.0,53416
49,0.9843966922194725,37,0.9965322863995356,0.9877803182871246,65461
