mode,tp,fp,fn,completeness,commission,f1,seed
baseline,156,5,0,1.0,0.031055900621118012,0.9842271293375394,
oracle_global,143,4,13,0.9166666666666666,0.027210884353741496,0.9438943894389439,
oracle_balanced,143,4,13,0.9166666666666666,0.027210884353741496,0.9438943894389439,
random_s42,156,4,0,1.0,0.025,0.9873417721518988,42
random_s43,156,3,0,1.0,0.018867924528301886,0.9904761904761905,43
random_s44,156,4,0,1.0,0.025,0.9873417721518988,44
