model,seed,best_epoch,device,parameter_count,safe_roc_auc,safe_average_precision,critical_roc_auc,critical_average_precision,baseline_f1,filtered_f1,filtered_completeness,filtered_commission,f1_gain_pp,commission_reduction_pp,completeness_drop_pp,reject_precision,num_rejected,safe_rejected,critical_rejected,unknown_rejected
quality_iou_control,42,17,cuda,4450,0.9912811288329826,0.987123667544826,0.9912811288329826,0.9938544486877937,0.7930186823992134,0.8677305923721936,0.9944203347799132,0.23032629558541268,7.471190997298027,11.264722783617593,0.5579665220086794,0.9757412398921833,386,362,9,15
quality_iou_control,43,10,cuda,4450,0.9926031516493808,0.9879745073002545,0.992603151649381,0.9950951901582035,0.7930186823992134,0.8674242424242424,0.9938003719776813,0.23043686989918388,7.440556002502907,11.253665352240471,0.619962802231866,0.9731182795698925,386,362,10,14
quality_iou_control,44,11,cuda,4450,0.9917254845944398,0.987131738573696,0.9917254845944397,0.9940847445491787,0.7930186823992134,0.8677305923721936,0.9944203347799132,0.23032629558541268,7.471190997298027,11.264722783617593,0.5579665220086794,0.9757412398921833,386,362,9,15
safe_iou_control,42,21,cuda,4450,0.9916319747655996,0.9872312815866211,0.9916319747655995,0.9943095308386345,0.7930186823992134,0.8676589986468201,0.9938003719776813,0.23006724303554274,7.46403162476067,11.290628038604586,0.619962802231866,0.9731903485254692,386,363,10,13
safe_iou_control,43,23,cuda,4450,0.9909369095811495,0.986511201674479,0.9909369095811497,0.9931841399338736,0.7930186823992134,0.8674242424242424,0.9938003719776813,0.23043686989918388,7.440556002502907,11.253665352240471,0.619962802231866,0.9731182795698925,386,362,10,14
safe_iou_control,44,9,cuda,4450,0.9915907420851661,0.9875828356619374,0.9915907420851661,0.9934611505365952,0.7930186823992134,0.8677305923721936,0.9944203347799132,0.23032629558541268,7.471190997298027,11.264722783617593,0.5579665220086794,0.9757412398921833,386,362,9,15
coverage_cvar,42,9,cuda,4450,0.9912174390676702,0.9867868306732563,0.9912170709187377,0.9935693538548467,0.7930186823992134,0.8668831168831169,0.9931804091754495,0.23091694671147384,7.386443448390356,11.205657671011476,0.6819590824550525,0.9704301075268817,386,361,11,14
coverage_cvar,43,10,cuda,4450,0.9911953501317236,0.9865897963658674,0.9911946138338589,0.9931074662566464,0.7930186823992134,0.8674242424242424,0.9938003719776813,0.23043686989918388,7.440556002502907,11.253665352240471,0.619962802231866,0.9731182795698925,386,362,10,14
coverage_cvar,44,11,cuda,4450,0.9913912053637828,0.9873283061399246,0.9913912053637828,0.9924070800644095,0.7930186823992134,0.8668831168831169,0.9931804091754495,0.23091694671147384,7.386443448390356,11.205657671011476,0.6819590824550525,0.9704301075268817,386,361,11,14
