source_plot,num_gt_trees,base_tree_recall,oracle_tree_recall,oracle_recall_gain_pp,num_newly_recovered_trees,non_base_best_tree_rate,proposal_inflation_vs_base
G4N,305,0.980327868852459,0.9836065573770492,0.3278688524590123,1,0.14098360655737704,5.09065934065934
G4W,577,0.9722703639514731,0.975736568457539,0.34662045060658286,2,0.14558058925476602,5.012251148545176
L1N,452,0.9756637168141593,0.9756637168141593,0.0,0,0.18805309734513273,5.042335766423357
O1N,159,0.9748427672955975,0.9748427672955975,0.0,0,0.11320754716981132,5.089473684210526
O1W,264,0.9318181818181818,0.946969696969697,1.515151515151525,4,0.3409090909090909,5.196301564722617
