retention_ratio_requested,retention_ratio_actual_mean,retention_ratio_actual_std,precision_mean,precision_std,completeness_mean,completeness_std,commission_mean,commission_std,f1_mean,f1_std
0.5,0.5013477088948787,0.0,0.969890925827634,0.013541319218219662,0.5010641025641025,0.03013682998382948,0.030109074172365857,0.013541319218219664,0.6602535995423696,0.0269828829916232
0.51,0.5121293800539082,2.222669831529484e-16,0.9697791637415392,0.013195661821859358,0.5118589743589743,0.030328215355642143,0.0302208362584608,0.013195661821859358,0.6695476570448919,0.02676799735359092
0.52,0.5202156334231807,1.111334915764742e-16,0.969904672918655,0.012944523235420616,0.5197692307692309,0.030521360424956488,0.03009532708134503,0.012944523235420618,0.67631970402697,0.026637630003004557
0.53,0.5309973045822103,0.0,0.9699091276235623,0.01257163748671858,0.5306538461538461,0.03018599589102884,0.030090872376437688,0.01257163748671858,0.6855044582016453,0.026013690365509705
0.54,0.5417789757412397,2.222669831529484e-16,0.9697348513781835,0.012326390810460386,0.5419102564102564,0.029833443351189797,0.030265148621816507,0.012326390810460386,0.6948178023222054,0.02537782026743274
0.55,0.5525606469002697,2.222669831529484e-16,0.9698093088475982,0.012049786857286367,0.5523076923076922,0.030400692737159875,0.030190691152401895,0.012049786857286367,0.7033272838440398,0.025464127475558426
0.56,0.5606469002695417,1.111334915764742e-16,0.9698898078232165,0.01173430981196478,0.5605256410256408,0.03014242552796683,0.030110192176783564,0.01173430981196478,0.7100022065897067,0.024995149028834325
0.57,0.5714285714285712,2.222669831529484e-16,0.9699356402731079,0.011578422144102955,0.5713076923076922,0.029519935872416525,0.03006435972689216,0.011578422144102955,0.7186428306333376,0.02421161016990779
0.58,0.5822102425876012,1.111334915764742e-16,0.9699184102507056,0.011265202052814862,0.5817179487179487,0.029337964698453914,0.030081589749294407,0.011265202052814862,0.7268421173974107,0.023745800427611426
0.59,0.5902964959568733,0.0,0.9699025276039496,0.010984124186384931,0.590051282051282,0.02949556742470757,0.030097472396050484,0.010984124186384931,0.7333229984643918,0.023727928611788855
0.6,0.6010781671159029,1.111334915764742e-16,0.9698349993424424,0.010660176670555629,0.6006538461538461,0.02921751378695844,0.0301650006575576,0.010660176670555629,0.741468282751757,0.02332830721129598
0.61,0.6118598382749327,1.111334915764742e-16,0.9697622754783674,0.010564946698375155,0.6111538461538462,0.02939117935380461,0.03023772452163266,0.010564946698375155,0.7494058590218203,0.023214369863445473
0.62,0.6226415094339621,1.111334915764742e-16,0.969769900002817,0.010189054188083257,0.6217179487179487,0.029029951311049736,0.0302300999971829,0.010189054188083257,0.7573175602506164,0.022542663669928416
0.63,0.6307277628032344,1.111334915764742e-16,0.9698484670617917,0.010182762969752533,0.6293589743589744,0.028827663658140372,0.030151532938208235,0.010182762969752533,0.7629965201261334,0.02215707397585305
0.64,0.6415094339622642,1.111334915764742e-16,0.9696367769310748,0.010104740706446892,0.6398076923076924,0.028429496919139426,0.030363223068925138,0.010104740706446892,0.7705801739660371,0.021568599167329963
0.65,0.6522911051212936,2.222669831529484e-16,0.9696496799249258,0.009989398438255779,0.6503333333333333,0.028300158495214583,0.03035032007507421,0.009989398438255779,0.7781861185749701,0.021204097705175545
0.66,0.6603773584905659,1.111334915764742e-16,0.9696858212092851,0.009850359919602033,0.658551282051282,0.02803965960506217,0.030314178790714897,0.009850359919602031,0.7840687278209219,0.02083424426074174
0.67,0.6711590296495958,1.111334915764742e-16,0.9695425991246246,0.009513078650202685,0.6688205128205127,0.02824438691430566,0.0304574008753754,0.009513078650202685,0.7912597280639068,0.02070301461905088
0.68,0.6819407008086252,1.111334915764742e-16,0.9694931819413138,0.009323438132866046,0.6795128205128206,0.028081287514561456,0.030506818058686144,0.009323438132866046,0.7986930761561772,0.02033148990826029
0.69,0.6900269541778974,2.222669831529484e-16,0.9694140442826485,0.009224330618144198,0.6875512820512821,0.0280867501706153,0.030585955717351395,0.0092243306181442,0.8042021166178885,0.020185856927246004
0.7,0.7008086253369273,1.111334915764742e-16,0.9693654865041024,0.009010065171894337,0.6984230769230769,0.02782491925273622,0.03063451349589758,0.009010065171894337,0.8115876257295849,0.01970240816392294
0.71,0.7115902964959566,2.222669831529484e-16,0.9694906890531029,0.008835671078783545,0.7092307692307693,0.027279856134640807,0.030509310946897024,0.008835671078783545,0.8189067450136297,0.019162585064359774
0.72,0.7223719676549863,2.222669831529484e-16,0.9693566519103716,0.008649264365663944,0.7200641025641026,0.027736895113133053,0.03064334808962836,0.008649264365663944,0.8260377173380152,0.019296278940399293
0.73,0.7304582210242588,1.111334915764742e-16,0.9693062466806819,0.008383376610834402,0.7286410256410256,0.027312570414438898,0.030693753319318097,0.008383376610834402,0.8316520149435939,0.018856245022168337
0.74,0.7412398921832886,1.111334915764742e-16,0.9692108539429979,0.008268339082476182,0.7391666666666667,0.02672135456986059,0.030789146057002035,0.008268339082476182,0.8384505607578309,0.018263022986995305
0.75,0.752021563342318,1.111334915764742e-16,0.9691650788466557,0.008057091324374417,0.7497307692307692,0.026197204568911375,0.03083492115334433,0.008057091324374417,0.8452063420578689,0.017733757145122736
0.76,0.7601078167115903,0.0,0.969179694362467,0.0078348672516345,0.7577051282051281,0.0257285484056065,0.030820305637533005,0.0078348672516345,0.8502691951884688,0.017272574617101934
0.77,0.7708894878706201,1.111334915764742e-16,0.9692359720347905,0.007618983550174991,0.7690512820512821,0.02518348524999366,0.03076402796520945,0.00761898355017499,0.8574032092297452,0.01663485783332615
0.78,0.7816711590296493,2.222669831529484e-16,0.969331469000143,0.007357805982869994,0.7799871794871794,0.024737361545433396,0.030668530999856933,0.007357805982869994,0.8642091430197716,0.016122027025442007
0.79,0.7924528301886794,1.111334915764742e-16,0.9692029265715266,0.007192868704943815,0.7907051282051282,0.024165836760299,0.030797073428473282,0.007192868704943815,0.8707114225511107,0.015572137588046271
0.8,0.8005390835579517,2.222669831529484e-16,0.9692569111968398,0.007039401908468603,0.7987307692307692,0.02377774360432301,0.030743088803160228,0.007039401908468604,0.8755900980380362,0.015268440980912906
0.81,0.811320754716981,2.222669831529484e-16,0.9692524691399834,0.006835533130427921,0.8100384615384615,0.023586888627134574,0.030747530860016595,0.006835533130427921,0.8823501869774336,0.01500460273660158
0.82,0.8221024258760109,1.111334915764742e-16,0.9691724289666895,0.006654908454002926,0.8206153846153845,0.023199407744896938,0.030827571033310627,0.006654908454002926,0.8885628685599386,0.014530775302238943
0.83,0.8301886792452832,1.111334915764742e-16,0.9691552773063768,0.006583452649006997,0.8289615384615383,0.022280633157780408,0.030844722693623105,0.006583452649006997,0.893442428531194,0.01388557475355427
0.84,0.8409703504043123,3.3340047472942265e-16,0.9692449186097319,0.006221654212871885,0.8399487179487181,0.021830826625498814,0.030755081390268113,0.006221654212871885,0.8998341331846521,0.013425958779501795
0.85,0.8517520215633424,1.111334915764742e-16,0.9693297682561577,0.0059474353003936605,0.8512435897435897,0.02121152095474294,0.03067023174384236,0.0059474353003936605,0.9063245313089356,0.012885312568675415
0.86,0.8625336927223722,2.222669831529484e-16,0.9693752422488071,0.005769963487952768,0.8618589743589744,0.02050878560465337,0.0306247577511928,0.005769963487952768,0.9123389627837603,0.012336019485220914
0.87,0.870619946091644,2.222669831529484e-16,0.9693515664629085,0.005505168592253332,0.8701410256410257,0.01999640191540532,0.030648433537091506,0.005505168592253332,0.9169570885847145,0.011939724242909438
0.88,0.8814016172506739,0.0,0.9693517706452264,0.00527337033266459,0.8814871794871795,0.01893284462007902,0.030648229354773647,0.00527337033266459,0.9232338312284092,0.011199034467822323
0.89,0.8921832884097037,2.222669831529484e-16,0.9692748823996019,0.005057631378751269,0.8918589743589743,0.018496396381933542,0.030725117600398134,0.005057631378751269,0.9288645748330221,0.01089089361210635
0.9,0.9002695417789758,0.0,0.9691548484086661,0.00484377616864816,0.9,0.017998748421347698,0.030845151591333924,0.00484377616864816,0.9332124670938999,0.010540639751356828
0.91,0.9110512129380054,0.0,0.9688920460150834,0.004332844413659665,0.9105512820512821,0.017279674418156935,0.031107953984916597,0.004332844413659665,0.9387386052490099,0.009957502356070016
0.92,0.9218328840970352,2.222669831529484e-16,0.9689445138441475,0.004085009381653503,0.9217179487179488,0.016130069292817614,0.031055486155852415,0.004085009381653503,0.9446751151248349,0.009221267019618848
0.93,0.9326145552560645,2.222669831529484e-16,0.9688918104611021,0.0036934697625323116,0.9328205128205128,0.015061567275151205,0.031108189538897924,0.0036934697625323116,0.9504563601568448,0.00845159705442382
0.94,0.9407008086253369,0.0,0.96892826882189,0.0034421863829753436,0.9407692307692307,0.014230562069735582,0.031071731178109976,0.003442186382975343,0.9545906394818757,0.00795039959037364
0.95,0.9514824797843666,0.0,0.9689880296945133,0.0031894073728477006,0.9518461538461538,0.012925830203677538,0.031011970305486733,0.0031894073728477006,0.9602998758118857,0.007183596302484068
0.96,0.962264150943396,2.222669831529484e-16,0.9689165403841703,0.002682457812833125,0.9623205128205127,0.011354282872327771,0.03108345961582961,0.002682457812833125,0.9655755913150895,0.006166680574931052
0.97,0.9703504043126685,0.0,0.9689984508448731,0.0024503990021773653,0.9705512820512818,0.009901586481372817,0.031001549155126797,0.0024503990021773657,0.9697505612084599,0.005378945373339099
0.98,0.9811320754716982,1.111334915764742e-16,0.968936514285499,0.0018753866180120794,0.9809358974358975,0.008109734559735243,0.031063485714500898,0.0018753866180120794,0.9748832954448985,0.004298364002104292
0.99,0.9919137466307275,2.222669831529484e-16,0.9688865296545405,0.0010970122218905785,0.9917051282051282,0.005533110054876325,0.03111347034545948,0.0010970122218905785,0.9801557737595592,0.002877296126657698
1.0,1.0,0.0,0.9689440993788824,3.3340047472942265e-16,1.0,0.0,0.03105590062111796,0.0,0.9842271293375392,2.222669831529484e-16
