model,seed,epoch,activation_ap,activation_ap_lift,coverage_ap,coverage_ap_lift,keep_ratio,selected,activation_precision,activation_recall,target_tree_recall,passed
fixed_rule,42,,0.017625159679293546,55.07604470613195,0.11434329955208437,5.885716832187022,0.01,1176,0.004251700680272109,0.12195121951219512,0.5161290322580645,False
logistic_regression,42,,0.019733575770066913,61.66453644110251,0.1651533511572814,8.501117797075024,0.01,1176,0.01020408163265306,0.2926829268292683,0.9354838709677419,False
multitask_mlp,42,4,0.04189765376495324,130.9240366515133,0.16823331912870984,8.659656333246756,0.02,1250,0.0088,0.2682926829268293,0.7096774193548387,False
multitask_mlp,43,4,0.06777971249422607,211.80168256214026,0.17860005453329642,9.19327456277678,0.02,1250,0.0088,0.2682926829268293,0.7419354838709677,False
multitask_mlp,44,4,0.03632128599759125,113.49870343232666,0.17551613648772102,9.034532700148787,0.02,1250,0.008,0.24390243902439024,0.7096774193548387,False
