feature,auc,separability_auc,higher_for_tp,num_tp,num_fp,tp_median,fp_median,tp_mean,fp_mean
seed_fraction,0.0,1.0,False,156,5,0.01936582193706195,0.1743486973947896,0.021733157037981378,0.2423381642138737
point_density_bbox,1.0,1.0,True,156,5,422.27168396825675,22.817813638567817,425.20846526272584,27.178181351100427
num_points,0.9987179487179487,0.9987179487179487,True,156,5,55250.0,499.0,59400.36538461538,1368.6
semantic_probability_std,0.010256410256410253,0.9897435897435898,False,156,5,0.0107189339018155,0.126698911438998,0.012019372599626358,0.10866728567001391
confidence_p90,0.9891025641025641,0.9891025641025641,True,156,5,0.875,0.795,0.8667307692307691,0.7909999999999999
semantic_probability_mean,0.9756410256410257,0.9756410256410257,True,156,5,0.9994671314168966,0.90295642975901,0.9990912191963128,0.9042011264975564
num_clustered_seeds,0.9717948717948719,0.9717948717948719,True,156,5,1127.0,87.0,1087.7564102564102,199.6
bbox_area,0.9641025641025641,0.9641025641025641,True,156,5,129.84036311891077,40.82040795288049,139.99296913260218,41.68002222321489
confidence_mean,0.9461538461538461,0.9461538461538461,True,156,5,0.7414224050741187,0.6091521652018438,0.7398556607217114,0.6012064217398682
height,0.944871794871795,0.944871794871795,True,156,5,33.239999771118164,21.85999965667725,32.51423081679222,20.505999660491945
offset_z_abs_mean,0.9384615384615385,0.9384615384615385,True,156,5,21.916278157569707,4.3404813582779935,19.734014455130424,6.1458805978537665
seed_confidence_mean,0.9243589743589744,0.9243589743589744,True,156,5,0.8113674901972274,0.7834251937912959,0.8067860176588609,0.7464119165607052
seed_confidence_p90,0.9205128205128206,0.9205128205128206,True,156,5,0.825,0.795,0.8283333333333335,0.799
y_span,0.9192307692307692,0.9192307692307692,True,156,5,11.400000095367432,6.349999904632568,11.688846062773314,6.398000240325928
confidence_p10,0.9019230769230769,0.9019230769230769,True,156,5,0.575,0.385,0.5551923076923077,0.35900000000000004
semantic_probability_p10,0.8993589743589744,0.8993589743589744,True,156,5,0.995,0.685,0.9949358974358977,0.763
seed_confidence_p50,0.8897435897435898,0.8897435897435898,True,156,5,0.815,0.795,0.8114743589743589,0.781
confidence_p50,0.889102564102564,0.889102564102564,True,156,5,0.785,0.645,0.7779487179487179,0.611
x_span,0.8858974358974359,0.8858974358974359,True,156,5,11.595000505447388,5.420000076293945,11.631153831879297,6.075999999046326
seed_confidence_p10,0.8583333333333333,0.8583333333333333,True,156,5,0.785,0.775,0.7817307692307691,0.651
confidence_std,0.191025641025641,0.808974358974359,False,156,5,0.1273216352728766,0.1622847788452648,0.1324893114567775,0.17728023753590583
semantic_probability_p50,0.8,0.8,True,156,5,0.995,0.965,0.9950000000000002,0.953
base_vote_radius_rms,0.2115384615384615,0.7884615384615385,False,156,5,0.2942421699772718,0.6912685050612494,0.31076087561004984,0.877435911906465
offset_xy_magnitude_mean,0.7858974358974359,0.7858974358974359,True,156,5,2.732982897291328,2.281504479651061,2.781738098549633,2.0548609442701062
xy_radius_rms,0.7833333333333333,0.7833333333333333,True,156,5,2.7243789733494843,2.1915400181903437,2.835437639217183,1.8348295123719496
offset_xy_magnitude_std,0.7397435897435898,0.7397435897435898,True,156,5,1.6395506208122126,1.0379678555215937,1.6262810234770229,1.1228515213200985
seed_base_vote_radius_rms,0.2794871794871795,0.7205128205128205,False,156,5,0.09445918176888154,0.2160959040436357,0.1111950484230215,0.17142422372885352
seed_confidence_std,0.34871794871794876,0.6512820512820512,False,156,5,0.01985460443876405,0.0721203426703179,0.029315242433500536,0.08330693520022872
offset_z_abs_std,0.6243589743589744,0.6243589743589744,True,156,5,6.475985416791977,6.137342065606286,6.340161742919718,4.8509768917867735
verticality_mean,0.38846153846153847,0.6115384615384616,False,156,5,0.4504248062440473,0.5254432047995585,0.42948769573802054,0.4851855995187875
semantic_probability_p90,0.6,0.6,True,156,5,0.995,0.995,0.9950000000000002,0.9890000000000001
verticality_p10,0.416025641025641,0.583974358974359,False,156,5,0.045,0.055,0.04980769230769232,0.129
verticality_p50,0.42371794871794877,0.5762820512820512,False,156,5,0.4,0.495,0.3831410256410257,0.421
verticality_std,0.44487179487179485,0.5551282051282052,False,156,5,0.3226693064612456,0.3214769034149087,0.3168672606467564,0.30772365936876417
verticality_p90,0.45705128205128204,0.542948717948718,False,156,5,0.935,0.935,0.8996153846153845,0.915
